기준년월,기준년도,기준월,시도명,시군구명,행정동_코드_명,행정동_코드,아파트_단지_수,아파트_평균_면적,아파트_평균_시가
2019-10-28,2019,10,서울,중랑구,상봉2동,11260590,264,44,145011243
2019-10-28,2019,10,서울,서초구,방배1동,11650600,370,62,349907659
2019-10-28,2019,10,서울,중구,중림동,11140680,86,60,256153393
2019-10-28,2019,10,서울,강서구,등촌2동,11500530,390,56,188442463
2019-10-28,2019,10,서울,강남구,대치1동,11680600,95,106,1326518505
2019-10-28,2019,10,서울,중랑구,상봉1동,11260580,221,58,187604600
2019-10-28,2019,10,서울,양천구,신월7동,11470611,671,42,84199868
2019-10-28,2019,10,서울,성북구,석관동,11290810,377,51,149946511
2019-10-28,2019,10,서울,노원구,하계1동,11350611,131,72,235113128
2019-10-28,2019,10,서울,서초구,방배2동,11650610,456,65,423937687
2019-10-28,2019,10,서울,구로구,개봉3동,11530760,421,54,142946553
2019-10-28,2019,10,서울,중랑구,면목3?8동,11260575,241,53,144301533
2019-10-28,2019,10,서울,중구,황학동,11140670,51,53,225923415
2019-10-28,2019,10,서울,서초구,방배3동,11650620,357,75,427045339
2019-10-28,2019,10,서울,성북구,장위1동,11290760,471,51,132714004
2019-10-28,2019,10,서울,종로구,숭인1동,11110700,40,61,235295402
2019-10-28,2019,10,서울,도봉구,도봉1동,11320521,490,50,95872928
2019-10-28,2019,10,서울,강남구,개포4동,11680690,377,59,319491395
2019-10-28,2019,10,서울,성동구,금호2?3가동,11200615,262,59,244065289
2019-10-28,2019,10,서울,마포구,연남동,11440710,401,51,186573762
2019-10-28,2019,10,서울,은평구,증산동,11380640,268,60,190056136
2019-10-28,2019,10,서울,영등포구,신길7동,11560690,61,66,382749140
2019-10-28,2019,10,서울,서대문구,연희동,11410615,679,66,176044203
2019-10-28,2019,10,서울,관악구,서원동,11620645,407,50,126481050
2019-10-28,2019,10,서울,강북구,인수동,11305660,759,54,126805939
2019-10-28,2019,10,서울,종로구,종로5?6가동,11110630,14,42,132936677
2019-10-28,2019,10,서울,동작구,상도4동,11590560,671,54,160928123
2019-10-28,2019,10,서울,서대문구,북가좌2동,11410720,884,55,154720417
2019-10-28,2019,10,서울,마포구,망원2동,11440700,436,49,179743268
2019-10-28,2019,10,서울,송파구,장지동,11710646,462,52,277087891
2019-10-28,2019,10,서울,송파구,잠실6동,11710710,42,112,944903421
2019-10-28,2019,10,서울,용산구,원효로2동,11170570,116,72,369628825
2019-10-28,2019,10,서울,성동구,금호1가동,11200590,184,53,180067652
2019-10-28,2019,10,서울,영등포구,대림1동,11560700,92,55,174422588
2019-10-28,2019,10,서울,서대문구,홍은1동,11410660,190,62,171751622
2019-10-28,2019,10,서울,은평구,수색동,11380650,174,55,198120539
2019-10-28,2019,10,서울,관악구,청림동,11620545,74,62,246271528
2019-10-28,2019,10,서울,관악구,인헌동,11620625,579,56,150787336
2019-10-28,2019,10,서울,도봉구,창1동,11320511,195,64,197384233
2019-10-28,2019,10,서울,용산구,보광동,11170700,167,52,568741250
2019-10-28,2019,10,서울,성동구,왕십리2동,11200520,73,68,333110823
2019-10-28,2019,10,서울,종로구,부암동,11110550,183,83,226338355
2019-10-28,2019,10,서울,동작구,흑석동,11590605,234,73,432607188
2019-10-28,2019,10,서울,마포구,성산2동,11440730,358,53,200214576
2019-10-28,2019,10,서울,성동구,옥수동,11200645,133,93,611686138
2019-10-28,2019,10,서울,은평구,신사1동,11380631,641,55,140916622
2019-10-28,2019,10,서울,송파구,풍납1동,11710510,108,59,209610396
2019-10-28,2019,10,서울,영등포구,신길5동,11560670,103,56,176002165
