날짜,한국,미국,중국,일본,독일,인도,영국,프랑스,캐나다,이탈리아,브라질,오스트레일리아,인도네시아,스위스,스웨덴,노르웨이,남아프리카 공화국,덴마크,뉴질랜드
2020-05-01,1.39,0.67,2.71,0,-0.52,5.92,0.27,-0.03,0.55,1.76,4.94,0.9,7.31,-0.47,-0.06,0.47,10.07,-0.29,0.64
2020-06-01,1.39,0.73,2.82,0.03,-0.43,5.86,0.28,-0.04,0.56,1.46,4.94,0.93,7.17,-0.44,0.01,0.65,9.96,-0.26,0.9
2020-07-01,1.36,0.62,2.97,0.01,-0.52,5.81,0.21,-0.15,0.52,1.2,4.91,0.9,6.78,-0.53,-0.07,0.61,10.27,-0.34,0.91
2020-08-01,1.37,0.65,3.02,0.05,-0.52,6.01,0.27,-0.17,0.56,1.03,4.91,0.91,6.84,-0.41,-0.04,0.69,10.19,-0.36,0.68
2020-09-01,1.5,0.68,3.15,0.02,-0.52,6.02,0.27,-0.21,0.56,0.98,4.91,0.89,6.88,-0.5,-0.08,0.65,10.22,-0.39,0.56
2020-10-01,1.51,0.79,3.18,0.04,-0.61,5.94,0.31,-0.3,0.6,0.77,4.55,0.8,6.58,-0.52,-0.03,0.67,10.39,-0.46,0.54
2020-11-01,1.61,0.87,3.25,0.03,-0.61,5.9,0.38,-0.33,0.69,0.66,4.55,0.86,6.16,-0.51,0,0.79,9.97,-0.46,0.75
2020-12-01,1.68,0.93,3.14,0.02,-0.62,5.89,0.32,-0.34,0.73,0.58,4.55,0.98,5.93,-0.53,0.01,0.91,9.79,-0.47,0.92
2021-01-01,1.73,1.08,3.18,0.06,-0.58,5.94,0.37,-0.31,0.81,0.62,4.39,1.05,6.21,-0.45,0.07,1.01,9.71,-0.44,1.04
2021-02-01,1.85,1.26,3.28,0.15,-0.45,6.19,0.62,-0.15,1.1,0.59,4.39,1.33,6.6,-0.23,0.25,1.28,9.5,-0.28,1.46
2021-03-01,2.04,1.61,3.19,0.12,-0.36,6.35,0.85,-0.07,1.5,0.7,4.39,1.71,6.77,-0.27,0.4,1.46,10.09,-0.03,1.76
2021-04-01,2.04,1.64,3.16,0.09,-0.33,6.28,0.85,-0.01,1.52,0.8,4.61,1.68,6.45,-0.21,0.37,1.42,10.03,0,1.68
2021-05-01,2.13,1.62,3.05,0.08,-0.22,6.23,0.91,0.21,1.52,0.98,4.61,1.66,6.38,-0.13,0.42,1.47,9.82,0.11,1.81
2021-06-01,2.1,1.52,3.08,0.05,-0.29,6.27,0.85,0.15,1.43,0.88,4.61,1.53,6.56,-0.2,0.36,1.47,9.53,0.11,1.76
2021-07-01,1.98,1.32,2.84,0.02,-0.45,6.21,0.7,-0.01,1.25,0.75,4.88,1.25,6.24,-0.37,0.18,1.24,9.62,-0.05,1.59
2021-08-01,1.91,1.28,2.85,0.02,-0.54,6.28,0.64,-0.11,1.19,0.63,4.88,1.14,6.04,-0.35,0.11,1.23,9.57,-0.16,1.65
2021-09-01,2.06,1.37,2.88,0.07,-0.36,6.19,0.8,0.04,1.26,0.78,4.88,1.28,6.35,-0.17,0.27,1.42,9.62,-0.01,1.87
