날짜,한국,미국,중국,일본,독일,인도,영국,프랑스,캐나다,이탈리아,오스트레일리아,멕시코,인도네시아,스위스,스웨덴,노르웨이,남아프리카 공화국,덴마크,뉴질랜드
2021-07-01,0.69,0.1,2.82,-0.07,-0.54,3.43,0.08,-0.54,0.2,-0.54,0.02,4.58,3.75,-0.74,-0.16,0.32,3.87,-0.21,0.4
2021-08-01,0.77,0.1,2.86,-0.07,-0.55,3.35,0.07,-0.55,0.21,-0.55,0.01,4.71,3.75,-0.74,-0.16,0.42,3.73,-0.21,0.54
2021-09-01,0.98,0.1,2.77,-0.07,-0.55,3.31,0.07,-0.55,0.22,-0.55,0.01,4.8,3.75,-0.82,-0.17,0.67,3.84,-0.21,0.57
2021-10-01,1.08,0.11,2.72,-0.07,-0.55,3.47,0.16,-0.55,0.23,-0.55,0.04,5.06,3.75,-0.73,-0.21,0.74,3.76,-0.28,0.7
2021-11-01,1.17,0.14,2.94,-0.07,-0.57,3.56,0.13,-0.57,0.26,-0.57,0.04,5.27,3.75,-0.69,-0.35,0.83,3.81,-0.28,0.83
2021-12-01,1.27,0.17,3.08,-0.05,-0.58,3.58,0.16,-0.58,0.27,-0.58,0.06,5.62,3.75,-0.72,-0.38,1.02,3.87,-0.27,0.91
2022-01-01,1.39,0.22,3.32,-0.05,-0.56,3.63,0.53,-0.56,0.46,-0.56,0.07,5.87,3.75,-0.71,-0.16,1.1,3.87,-0.29,1.03
2022-02-01,1.5,0.38,3.2,-0.05,-0.53,3.79,0.81,-0.53,0.62,-0.53,0.07,6.18,3.75,-0.68,-0.14,1.17,2.98,-0.27,1.21
2022-03-01,1.5,0.73,3.17,-0.05,-0.5,3.78,0.99,-0.5,0.88,-0.5,0.17,6.57,3.75,-0.68,-0.22,1.32,4.22,-0.24,1.49
2022-04-01,1.64,0.91,2.99,-0.05,-0.45,3.93,1.13,-0.45,1.35,-0.45,0.41,6.98,3.75,-0.67,-0.1,1.27,4.3,-0.21,1.81
2022-05-01,1.77,1.33,2.81,-0.05,-0.39,4.7,1.31,-0.39,1.78,-0.39,1,7.38,3.75,-0.69,0.31,1.24,4.46,-0.15,2.22
2022-06-01,1.99,1.87,2.76,0.01,-0.24,5.02,1.57,-0.24,2.25,-0.24,1.6,7.84,3.75,-0.51,0.51,1.68,5.13,0.01,2.68
2022-07-01,2.41,2.5,2.79,-0.03,0.04,5.31,1.84,0.04,3.03,0.04,2.07,8.35,3.76,-0.11,0.78,2.24,5.39,0.28,3.03
2022-08-01,2.79,2.76,2.5,-0.02,0.39,5.58,2.23,0.39,3.38,0.39,2.31,8.81,3.98,-0.02,1.13,2.6,5.74,0.69,3.31
2022-09-01,3.01,3.21,2.36,-0.02,1.01,5.81,2.91,1.01,3.79,1.01,2.76,9.22,4.48,0.15,1.51,2.94,5.78,1.34,3.64
2022-10-01,3.69,3.85,2.43,-0.02,1.43,6.29,3.39,1.43,4.23,1.43,2.95,9.9,5.32,0.53,1.6,3.33,6.12,1.8,4
2022-11-01,3.99,4.46,2.68,-0.02,1.83,6.46,3.52,1.83,4.38,1.83,3.06,10.39,5.87,0.54,1.68,3.51,6.18,2.09,4.24
2022-12-01,4.02,4.51,2.79,-0.02,2.06,6.39,3.78,2.06,4.55,2.06,3.17,10.82,6.4,0.74,2.02,3.26,6.61,2.33,4.53
2023-01-01,3.8,4.61,2.9,-0.01,2.34,6.41,4.01,2.34,4.76,2.34,3.32,10.94,6.65,0.99,2.66,3.27,6.47,2.62,4.81
2023-02-01,3.52,4.74,2.94,0,2.64,6.69,4.21,2.64,4.69,2.64,3.46,11.27,6.76,1,3.04,3.25,6.58,2.86,5.01
2023-03-01,3.61,4.91,3.05,-0.01,2.91,6.88,4.33,2.91,4.78,2.91,3.64,11.51,6.77,1.36,3.25,3.69,7.09,3.07,5.15
2023-04-01,3.5,5.03,2.89,0,3.17,6.81,4.52,3.17,4.8,3.17,3.66,11.64,6.76,1.45,3.41,3.74,7.72,3.28,5.49
2023-05-01,3.64,5.15,2.98,-0.02,3.37,6.86,4.73,3.37,4.79,3.37,3.9,11.59,6.76,1.45,3.5,3.94,8.04,3.4,5.67
2023-06-01,3.75,5.22,2.81,0,3.54,6.76,5.09,3.54,5.02,3.54,4.25,11.51,6.75,1.59,3.54,4.37,8.49,3.56,5.68
2023-07-01,3.75,5.35,2.57,0,3.67,6.72,5.49,3.67,5.22,3.67,4.3,11.5,6.75,1.72,3.71,4.68,8.57,3.72,5.67
2023-08-01,3.7,5.44,2.63,0,3.78,6.8,5.53,3.78,5.23,3.78,4.15,11.5,6.74,1.77,3.79,4.72,8.44,3.8,5.64
2023-09-01,3.76,5.49,2.64,0.02,3.88,6.84,5.52,3.88,5.23,3.88,4.13,11.51,6.74,1.77,3.83,4.72,8.32,3.91,5.68
2023-10-01,3.82,5.46,2.73,-0.01,3.97,6.89,5.4,3.97,5.32,3.97,4.21,11.51,6.81,1.77,3.96,4.72,8.55,3.97,5.68
2023-11-01,3.83,5.41,2.88,0.02,3.97,6.93,5.36,3.97,5.24,3.97,4.38,11.51,6.95,1.73,4.1,4.69,8.51,3.95,5.63
2023-12-01,3.83,5.32,3.02,0.05,3.93,6.95,5.34,3.93,5.19,3.93,4.35,11.5,6.95,1.65,4.03,4.73,8.45,3.91,5.63
2024-01-01,3.74,5.26,2.79,0.03,3.93,6.96,5.32,3.93,5.17,3.93,4.35,11.66,6.94,1.69,3.97,4.71,8.48,3.89,5.64
2024-02-01,3.69,5.22,2.79,0.03,3.92,7.03,5.33,3.92,5.09,3.92,4.34,11.65,6.94,1.7,4.04,4.71,8.46,3.88,5.71
